,num,ra,dec,Rmag,redshift,ra_galex,dec_galex,fuv_mag,nuv_mag,fuv_magerr,nuv_magerr,fuv_flux,nuv_flux,fuv_fluxerr,nuv_fluxerr,angularsep
0,2,13.52997,-28.44776,21.18,0.34555,13.5314230771042,-28.45601178312225,20.4228649,21.14517,0.252426177,0.2552243,24.59552,12.6453676,5.7169,2.97182775,30.060347468284846
1,3,13.52552,-28.4208,21.45,0.6866,13.52442935213248,-28.41510001695875,,22.173336,,0.472773343,,4.905293,,2.13544345,20.80847269296149
2,9,13.50219,-28.40641,21.6,0.29266,13.49358223794343,-28.40468652758306,,21.5107937,,0.3604291,,9.029878,,2.9968977,27.954317170457152
3,13,13.49261,-28.38272,23.14,0.6887,13.48829219623025,-28.37403328231525,,22.6296921,,0.543497264,,3.22197723,,1.61246407,34.13189084505463
4,19,13.60758,-28.43452,21.7,0.48395,13.60231897448726,-28.44320906896287,,21.1527367,,0.2871154,,12.5575495,,3.31994987,35.437832282017986
5,24,13.59032,-28.37749,21.77,0.46612,13.59918050113361,-28.37401590230174,,22.391037,,0.5514446,,4.014068,,2.03824687,30.725861065532435
6,25,13.59405,-28.44029,22.34,0.4481,13.60231897448726,-28.44320906896287,,21.1527367,,0.2871154,,12.5575495,,3.31994987,28.206016702035175
7,30,13.5803,-28.43544,21.08,0.29032,13.56838063848872,-28.431562841227,,21.7426777,,0.471279979,,7.29337454,,3.16502881,40.23229745195154
8,31,13.57201,-28.38038,21.32,0.63267,13.57645338456109,-28.38963801110134,,22.1637325,,0.431040674,,4.94887257,,1.96424067,36.17818692681187
9,32,13.57901,-28.43941,0.0,0.45335,13.56838063848872,-28.431562841227,,21.7426777,,0.471279979,,7.29337454,,3.16502881,43.93530366475288
10,33,13.575,-28.43938,19.21,0.44741,13.56838063848872,-28.431562841227,,21.7426777,,0.471279979,,7.29337454,,3.16502881,35.086472052719856
11,34,13.57391,-28.44285,20.63,0.63013,13.57487721494795,-28.45234200950254,,21.8688126,,0.52180475,,6.493441,,3.1199894,34.30810768679623
12,35,13.57178,-28.43542,20.26,0.44862,13.56838063848872,-28.431562841227,,21.7426777,,0.471279979,,7.29337454,,3.16502881,17.56769596987698
13,36,13.5687,-28.43129,19.96,0.82266,13.56838063848872,-28.431562841227,,21.7426777,,0.471279979,,7.29337454,,3.16502881,1.4095959316914333
14,37,13.56332,-28.39934,21.33,0.68905,13.56066262117981,-28.39448957366401,20.019392,19.9124088,0.1953644,0.126931176,35.6652222,39.3582954,6.41594362,4.600179,19.38363099415022
15,45,13.54055,-28.44539,22.11,1.10116,13.5437330933828,-28.44927543520079,,22.4880772,,0.438220173,,3.67086649,,1.48125947,17.238557386391598
16,47,13.52895,-28.41771,0.0,0.29369,13.52442935213248,-28.41510001695875,,22.173336,,0.472773343,,4.905293,,2.13544345,17.121894579115356
