,num,ra,dec,Rmag,redshift,ID,KIDS_TILE,RAJ2000,DECJ2000,FLUX_RADIUS,CLASS_STAR,MAG_GAAP_u,MAG_GAAP_g,MAG_GAAP_r,MAG_GAAP_i,MAG_GAAP_Z,MAG_GAAP_Y,MAG_GAAP_J,MAG_GAAP_H,MAG_GAAP_Ks,MAGERR_GAAP_u,MAGERR_GAAP_g,MAGERR_GAAP_r,MAGERR_GAAP_i,MAGERR_GAAP_Z,MAGERR_GAAP_Y,MAGERR_GAAP_J,MAGERR_GAAP_H,MAGERR_GAAP_Ks,FLUX_GAAP_u,FLUXERR_GAAP_u,FLUX_GAAP_g,FLUXERR_GAAP_g,FLUX_GAAP_r,FLUXERR_GAAP_r,FLUX_GAAP_i,FLUXERR_GAAP_i,FLUX_GAAP_Z,FLUXERR_GAAP_Z,FLUX_GAAP_Y,FLUXERR_GAAP_Y,FLUX_GAAP_J,FLUXERR_GAAP_J,FLUX_GAAP_H,FLUXERR_GAAP_H,FLUX_GAAP_Ks,FLUXERR_GAAP_Ks,Z_B,Z_ML,EXTINCTION_u,EXTINCTION_g,EXTINCTION_r,EXTINCTION_i,angularsep
0,2,13.52997,-28.44776,21.18,0.34555,KiDSDR4 J005407.202-282652.18 ,KIDS_13.5_-28.2 ,13.530012,-28.447828,2.967994,0.04272303,,22.848028,21.570145,20.993923,20.62259,20.378963,20.10479,19.715614,19.371752,,0.06353097,0.020523844,0.040035658,0.035336,0.0557509,0.0351411,0.0500281,0.042472,,,6.7505e-10,3.95e-11,2.1954e-09,4.15e-11,4.2306e-09,1.56e-10,5525.0454,179.81622,6933.5605,356.02774,8978.914,290.61316,12903.003,594.53876,17751.28,694.3972,0.64,0.65,0.07251725,0.05650495,0.03908986,0.02904796,0.2785692660020207
1,3,13.52552,-28.4208,21.45,0.6866,KiDSDR4 J005406.135-282515.22 ,KIDS_13.5_-28.2 ,13.525566,-28.420897,3.0209739208221436,0.026643499732017517,23.34685516357422,22.941314697265625,21.863622665405273,21.14830780029297,20.749330520629883,20.567508697509766,20.07846450805664,19.827842712402344,19.36817169189453,0.29351943731307983,0.06742612272500992,0.026408568024635315,0.04560422897338867,0.03976359963417053,0.06576800346374512,0.03400230035185814,0.054933998733758926,0.04178449884057045,4.179900037204476e-10,1.1299999824743168e-10,6.183399903214593e-10,3.839999845878239e-11,1.673300054072513e-09,4.0699998926641e-11,3.666400072432907e-09,1.539999933131142e-10,4912.4931640625,179.9134521484375,5824.85009765625,352.8377685546875,9195.8251953125,287.9878845214844,11632.51171875,588.5594482421875,17807.927734375,685.3374633789062,0.76,0.76,0.07506514340639114,0.05849025025963783,0.04046327993273735,0.03006855957210064,0.37835430474629095
2,9,13.50219,-28.40641,21.6,0.29266,KiDSDR4 J005400.531-282423.36 ,KIDS_13.5_-28.2 ,13.502216,-28.406491000000003,2.671783924102783,0.04139978066086769,,23.450843811035156,21.97775650024414,21.558429718017578,21.216758728027344,21.236705780029297,20.84039306640625,20.583024978637695,20.517724990844727,,0.09175235033035278,0.02492963708937168,0.05960599705576897,0.0629694014787674,0.11416400223970413,0.06394170224666595,0.10849100351333618,0.10654400289058685,,,3.8694999981991884e-10,3.2699998958607424e-11,1.5069000491862994e-09,3.45999999484814e-11,2.513699914885592e-09,1.3800000031594095e-10,3194.795654296875,185.28848266601562,3145.443359375,330.7408447265625,4558.9296875,268.4867248535156,5803.07177734375,579.8640747070312,6177.43359375,606.1976928710938,0.38,0.24000000000000002,0.0742989182472229,0.05789322033524513,0.040050260722637177,0.029761629179120064,0.3029996771745446
3,13,13.49261,-28.38272,23.14,0.6887,KiDSDR4 J005358.235-282258.04 ,KIDS_13.5_-28.2 ,13.492649,-28.38279,2.1929280757904053,0.577261209487915,23.861921310424805,23.616483688354492,23.223907470703125,23.105886459350586,22.334182739257812,23.365663528442383,22.204744338989258,,,0.4087723195552826,0.09402157366275787,0.06776754558086395,0.271577924489975,0.17173199355602264,0.7944009900093079,0.21789099276065826,,,2.595000048177809e-10,9.770000086728459e-11,3.31420002552818e-10,2.870000070931411e-11,4.774399764428949e-10,2.979999927377186e-11,6.036799948816451e-10,1.5100000416712334e-10,1140.4224853515625,180.38153076171875,442.3287658691406,323.6387023925781,1297.0,260.2881774902344,,,,,0.7899999999999999,0.7899999999999999,0.07757242769002914,0.06044391170144081,0.04181481897830963,0.031072890385985374,0.28064545334103225
4,19,13.60758,-28.43452,21.7,0.48395,KiDSDR4 J005425.830-282604.52 ,KIDS_13.5_-28.2 ,13.607625,-28.434589000000003,2.9920759201049805,0.08797255158424377,24.18699073791504,23.808002471923828,22.011512756347656,21.487327575683594,21.10015869140625,20.862760543823242,20.67616844177246,20.508581161499023,20.21402931213379,0.6986574530601501,0.131907120347023,0.026403365656733513,0.061926424503326416,0.03776729851961136,0.058466799557209015,0.04610560089349747,0.09505440294742584,0.06749570369720459,1.9269999484983202e-10,1.2400000470869088e-10,2.7821001058470074e-10,3.3800000992512125e-11,1.4597999475896017e-09,3.549999877394683e-11,2.6824999999064403e-09,1.5300000155704652e-10,3555.81884765625,123.68914794921875,4437.3701171875,238.95188903808594,5302.6748046875,225.17733764648438,6213.9951171875,544.024658203125,8170.59130859375,507.9319763183594,0.38,0.39,0.07564196735620499,0.05893971025943756,0.04077421873807907,0.03029962070286274,0.28635019734352735
5,24,13.59032,-28.37749,21.77,0.46612,KiDSDR4 J005421.678-282239.31 ,KIDS_13.5_-28.2 ,13.590326000000001,-28.377588,4.229931831359863,0.0016199219971895218,24.25982093811035,23.89012336730957,22.34091567993164,21.558271408081055,21.116432189941406,20.8402156829834,20.387224197387695,20.118511199951172,19.80461311340332,0.7018020153045654,0.13808171451091766,0.0352354422211647,0.06491825729608536,0.03412960097193718,0.0854858011007309,0.04603179916739464,0.07471329718828201,0.06234059855341911,1.794600024140891e-10,1.1600000127121035e-10,2.5711999196431634e-10,3.2699998958607424e-11,1.0753999912793688e-09,3.4899999556969874e-11,2.5086999144718902e-09,1.4999999853326784e-10,3498.63671875,109.97801208496094,4525.6826171875,356.3313293457031,6914.23583984375,293.14190673828125,8896.42578125,612.1937866210938,11908.9541015625,683.7860717773438,0.6599999999999999,0.6699999999999999,0.08009716123342514,0.06241115927696228,0.043175749480724335,0.03208421170711517,0.35331148941848045
6,25,13.59405,-28.44029,22.34,0.4481,KiDSDR4 J005422.577-282625.34 ,KIDS_13.5_-28.2 ,13.594072,-28.440373,2.4305930137634277,0.059326041489839554,23.460500717163086,23.625606536865234,22.586524963378906,22.302156448364258,22.077606201171875,21.80117416381836,21.4995059967041,21.801170349121094,21.844287872314453,0.30852970480918884,0.09792397171258926,0.0396447591483593,0.12855033576488495,0.07503829896450043,0.11180800199508667,0.12331099808216095,0.33540499210357666,0.23936299979686737,3.7653999362952106e-10,1.0699999913876823e-10,3.2930000393172065e-10,2.96999994042757e-11,8.599400080910868e-10,3.1400000655157356e-11,1.2669000293286103e-09,1.4999999853326784e-10,1445.6231689453125,99.91105651855469,1870.00927734375,192.57211303710938,2484.2001953125,282.1385498046875,1889.6085205078125,583.7373046875,1820.3468017578125,401.3169250488281,0.51,0.51,0.07480672746896744,0.058288898319005966,0.04032399132847786,0.029965050518512726,0.3068084045858414
7,30,13.5803,-28.43544,21.08,0.29032,KiDSDR4 J005419.282-282607.82 ,KIDS_13.5_-28.2 ,13.580344,-28.435507,3.4448320865631104,0.026891840621829033,23.270591735839844,22.41463279724121,21.467060089111328,21.043415069580078,20.741954803466797,20.67464256286621,20.392221450805664,20.116315841674805,19.938152313232422,0.29547134041786194,0.037193115800619125,0.016664138063788414,0.04221515357494354,0.03986689820885658,0.07310760021209717,0.04670950025320053,0.07470650225877762,0.07236830145120621,4.483000082267097e-10,1.219999934409799e-10,1.0041999454202255e-09,3.440000020948908e-11,2.410700083999018e-09,3.7000000285836165e-11,4.037899792308508e-09,1.5699999633689288e-10,4946.04052734375,181.61236572265625,5276.9384765625,355.32061767578125,6887.8623046875,296.3228759765625,8918.4541015625,613.6544189453125,10534.193359375,702.14306640625,0.5700000000000001,0.29000000000000004,0.07532346248626709,0.05869153141975403,0.04060253128409386,0.03017202951014042,0.27853016021037935
8,31,13.57201,-28.38038,21.32,0.63267,KiDSDR4 J005417.289-282249.68 ,KIDS_13.5_-28.2 ,13.572039,-28.380468,3.6109259128570557,0.01758830063045025,23.86748504638672,23.06836700439453,21.83706283569336,20.964370727539062,20.525075912475586,20.045568466186523,19.75739288330078,19.3074893951416,19.0304012298584,0.47218751907348633,0.061815641820430756,0.02101260796189308,0.03606680780649185,0.03390270099043846,0.03976520150899887,0.024723200127482414,0.03437130153179169,0.029522499069571495,2.575299973273104e-10,1.1199999955247009e-10,5.479999787283418e-10,3.120000091616504e-11,1.7103000127249857e-09,3.309999843659206e-11,4.334899994518082e-09,1.440000063634983e-10,6030.9140625,188.31883239746094,9408.751953125,344.5968017578125,12350.1376953125,281.22357177734375,18776.099609375,594.39697265625,24296.728515625,660.6581420898438,0.8,0.81,0.08028216660022736,0.06255532801151276,0.04327547922730446,0.032158318907022476,0.32984705503963846
9,32,13.57901,-28.43941,0.0,0.45335,KiDSDR4 J005419.326-282623.74 ,KIDS_13.5_-28.2 ,13.580529,-28.439929,2.7405459880828857,0.4629560112953186,24.220905303955078,24.199020385742188,24.223167419433594,,23.59803009033203,22.895492553710938,22.377120971679688,22.020978927612305,23.073694229125977,0.6389074921607971,0.16101545095443726,0.18982000648975372,,0.5200880169868469,0.5230429768562317,0.2646160125732422,0.39165499806404114,1.1793299913406372,1.869299992574014e-10,1.100000021625469e-10,1.9420000330061526e-10,2.880000057881027e-11,1.9047000088256993e-10,3.330000164503133e-11,,,356.3584899902344,170.70223999023438,682.5162963867188,328.7955322265625,1107.01416015625,269.80206298828125,1543.2730712890625,556.7009887695312,586.6693725585938,637.2413940429688,1.37,1.63,0.07473340630531311,0.05823175981640816,0.04028446972370148,0.029935669153928757,5.158709748237219
