,num,ra,dec,Rmag,redshift,ra_galex,dec_galex,fuv_mag,nuv_mag,fuv_magerr,nuv_magerr,fuv_flux,nuv_flux,fuv_fluxerr,nuv_fluxerr,angularsep
0,2,13.52997,-28.44776,21.18,0.34555,13.5314230771042,-28.4560117831223,20.42286,21.14517,0.2524262,0.2552243,24.59552,12.64537,5.7169,2.971828,30.060347468454566
1,3,13.52552,-28.4208,21.45,0.6866,13.5244293521325,-28.4151000169588,-999.0,22.17334,-999.0,0.4727733,-999.0,4.905293,-999.0,2.135443,20.808472692780924
2,9,13.50219,-28.40641,21.6,0.29266,13.4935822379434,-28.4046865275831,-999.0,21.51079,-999.0,0.3604291,-999.0,9.029878,-999.0,2.996898,27.9543171705199
3,13,13.49261,-28.38272,23.14,0.6887,13.4882921962302,-28.3740332823152,-999.0,22.62969,-999.0,0.5434973,-999.0,3.221977,-999.0,1.612464,34.13189084529609
4,19,13.60758,-28.43452,21.7,0.48395,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,35.43783228205827
5,24,13.59032,-28.37749,21.77,0.46612,13.5991805011336,-28.3740159023017,-999.0,22.39104,-999.0,0.5514446,-999.0,4.014068,-999.0,2.038247,30.725861065567333
6,25,13.59405,-28.44029,22.34,0.4481,13.6023189744873,-28.4432090689629,-999.0,21.15274,-999.0,0.2871154,-999.0,12.55755,-999.0,3.31995,28.20601670219785
7,30,13.5803,-28.43544,21.08,0.29032,13.5683806384887,-28.431562841227,-999.0,21.74268,-999.0,0.47128,-999.0,7.293375,-999.0,3.165029,40.23229745200955
8,31,13.57201,-28.38038,21.32,0.63267,13.5764533845611,-28.3896380111013,-999.0,22.16373,-999.0,0.4310407,-999.0,4.948873,-999.0,1.964241,36.178186926698416
9,32,13.57901,-28.43941,0.0,0.45335,13.5683806384887,-28.431562841227,-999.0,21.74268,-999.0,0.47128,-999.0,7.293375,-999.0,3.165029,43.93530366480025
10,33,13.575,-28.43938,19.21,0.44741,13.5683806384887,-28.431562841227,-999.0,21.74268,-999.0,0.47128,-999.0,7.293375,-999.0,3.165029,35.0864720527568
11,34,13.57391,-28.44285,20.63,0.63013,13.574877214948,-28.4523420095025,-999.0,21.86881,-999.0,0.5218047,-999.0,6.493441,-999.0,3.119989,34.30810768666201
12,35,13.57178,-28.43542,20.26,0.44862,13.5683806384887,-28.431562841227,-999.0,21.74268,-999.0,0.47128,-999.0,7.293375,-999.0,3.165029,17.567695969914865
13,36,13.5687,-28.43129,19.96,0.82266,13.5683806384887,-28.431562841227,-999.0,21.74268,-999.0,0.47128,-999.0,7.293375,-999.0,3.165029,1.4095959317358022
14,37,13.56332,-28.39934,21.33,0.68905,13.5606626211798,-28.394489573664,20.01939,19.91241,0.1953644,0.1269312,35.66522,39.3583,6.415944,4.600179,19.383630994185502
15,45,13.54055,-28.44539,22.11,1.10116,13.5437330933828,-28.4492754352008,-999.0,22.48808,-999.0,0.4382202,-999.0,3.670866,-999.0,1.481259,17.23855738640088
16,47,13.52895,-28.41771,0.0,0.29369,13.5244293521325,-28.4151000169588,-999.0,22.17334,-999.0,0.4727733,-999.0,4.905293,-999.0,2.135443,17.12189457897097
17,49,13.52328,-28.40698,21.87,0.68613,13.5244293521325,-28.4151000169588,-999.0,22.17334,-999.0,0.4727733,-999.0,4.905293,-999.0,2.135443,29.4577324508017
