# Spectral Indices Definitions
# 
#ID  name        units       centr_b   centr_r     pcont_bb  pcont_br    pcont_rb  pcont_rr     latex_name       latex_units  ref.                                                    
000  SiII1260    A           1255.000  1264.000    1268.000  1286.000    1268.000  1286.000     SiII1260         \AA          10
001  HeII1640    A           1634.000  1654.000    1614.000  1632.000    1680.000  1705.000     HeII1640         \AA          10
002  OIII1666    A           1663.000  1668.000    1614.000  1632.000    1680.000  1705.000     OIII1666         \AA          10
003  CIII1909    A           1897.000  1919.000    1815.000  1839.000    1932.000  1948.000     CIII1909         \AA          10
004  BL1302      A           1292.000  1312.000    1270.000  1290.000    1345.000  1365.000     BL_{1302}        \AA          3
005  OISiII1303	 A           1290.000  1307.000    1268.000  1286.000    1308.000  1324.000     OISiII           \AA          10
006  CII1335	 A           1326.000  1340.000    1308.000  1324.000    1348.000  1378.000     CII              \AA          10
007  SiIV        A           1387.000  1407.000    1345.000  1365.000    1475.000  1495.000     SiIV             \AA          3    
008  SiIV1400	 A           1380.000  1407.000    1348.000  1378.000    1433.000  1460.000     SiIV1400         \AA          10
009  BL1425      A           1415.000  1435.000    1345.000  1365.000    1475.000  1495.000     BL_{1425}        \AA          3    
010  Fe1453      A           1440.000  1466.000    1345.000  1365.000    1475.000  1495.000     Fe1453           \AA          3    
011  SiII1526	 A           1521.000  1533.000    1460.000  1495.000  	 1572.000  1599.000     SiII1526         \AA          10
012  CIV_A       A           1530.000  1550.000    1500.000  1520.000    1577.000  1597.000     C_{IV}^{A}       \AA          3    
013  CIV1550	 A           1533.000  1555.000    1460.000  1495.000  	 1583.000  1599.000     CIV1550          \AA          10
014  CIV         A           1540.000  1560.000    1500.000  1520.000    1577.000  1597.000     CIV              \AA          3    
015  CIV_E       A           1550.000  1570.000    1500.000  1520.000    1577.000  1597.000     C_{IV}^{E}       \AA          3    
016  FeII1608	 A           1600.000  1616.000    1583.000  1599.000  	 1614.000  1632.000     FeII1608         \AA          10
017  BL1617      A           1604.000  1630.000    1577.000  1597.000    1685.000  1705.000     BL_{1617}        \AA          3    
018  BL1664      A           1651.000  1677.000    1577.000  1597.000    1685.000  1705.000     BL_{1664}        \AA          3    
019  AlII1670	 A           1663.000  1679.000    1614.000  1632.000  	 1680.000  1705.000     AlII             \AA          10
020  BL1719      A           1709.000  1729.000    1685.000  1705.000    1803.000  1823.000     BL_{1719}        \AA          3    
021  BL1853      A           1838.000  1868.000    1803.000  1823.000    1885.000  1915.000     BL_{1853}        \AA          3    
022  AlIII1860	 A           1840.000  1873.000    1815.000  1839.000  	 1932.000  1948.000     AlIII            \AA          10
023  FeII2370	 A           2334.000  2391.000    2267.000  2290.000  	 2395.000  2450.000     FeII2370         \AA          10
024  FeII2402    A           2382.000  2422.000    2285.000  2325.000    2432.000  2458.000     FeII2402         \AA          3    
025  BL2538      A           2520.000  2556.000    2432.000  2458.000    2562.000  2588.000     BL_{2538}        \AA          3    
026  FeII2600	 A           2578.000  2611.000    2525.000  2572.000  	 2613.000  2674.000     FeII2600         \AA          10
027  FeII2609    A           2596.000  2622.000    2562.000  2588.000    2647.000  2673.000     FeII2609         \AA          3    
